"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"37148",37148,0,9,1,1,3,9,3,9,0,0,0,9
"37652",37652,0,9,1,1,3,9,2,9,0,0,1,9
"37660",37660,0,9,1,1,3,9,3,9,0,0,1,9
"41236",41236,1,9,1,1,3,9,2,9,0,0,0,9
"41244",41244,1,9,1,1,3,9,3,9,0,0,0,9
"41756",41756,1,9,1,1,3,9,3,9,0,0,1,9
"50756",50756,0,0,2,2,3,9,0,9,1,9,3,9
"81938",81938,2,2,0,9,1,9,2,9,0,9,0,9
"81940",81940,2,2,0,9,3,9,2,9,0,9,0,9
"82002",82002,2,2,0,9,1,9,2,9,1,9,0,9
"82076",82076,2,2,0,9,3,9,3,9,2,9,0,9
"82452",82452,2,2,0,9,3,9,2,9,0,9,1,9
"82514",82514,2,2,0,9,1,9,2,9,1,9,1,9
"86034",86034,0,9,0,9,1,9,2,9,0,9,0,9
"86050",86050,0,9,0,9,1,9,0,0,0,9,0,9
"86066",86066,0,9,0,9,1,9,2,2,0,9,0,9
"86098",86098,0,9,0,9,1,9,2,9,1,9,0,9
"86114",86114,0,9,0,9,1,9,0,0,1,9,0,9
"86130",86130,0,9,0,9,1,9,2,2,1,9,0,9
"86546",86546,0,9,0,9,1,9,2,9,0,9,1,9
"86562",86562,0,9,0,9,1,9,0,0,0,9,1,9
"86578",86578,0,9,0,9,1,9,2,2,0,9,1,9
"86610",86610,0,9,0,9,1,9,2,9,1,9,1,9
"86626",86626,0,9,0,9,1,9,0,0,1,9,1,9
"86642",86642,0,9,0,9,1,9,2,2,1,9,1,9
"87058",87058,0,9,0,9,1,9,2,9,0,9,2,9
"87074",87074,0,9,0,9,1,9,0,0,0,9,2,9
"87090",87090,0,9,0,9,1,9,2,2,0,9,2,9
"87122",87122,0,9,0,9,1,9,2,9,1,9,2,9
"87138",87138,0,9,0,9,1,9,0,0,1,9,2,9
"87154",87154,0,9,0,9,1,9,2,2,1,9,2,9
"87586",87586,0,9,0,9,1,9,0,0,0,9,3,9
"87602",87602,0,9,0,9,1,9,2,2,0,9,3,9
"87650",87650,0,9,0,9,1,9,0,0,1,9,3,9
"88082",88082,0,9,0,9,1,9,2,9,0,9,0,0
"88594",88594,0,9,0,9,1,9,2,9,0,9,1,1
"89106",89106,0,9,0,9,1,9,2,9,0,9,2,2
"90130",90130,1,9,0,9,1,9,2,9,0,9,0,9
"90146",90146,1,9,0,9,1,9,0,0,0,9,0,9
"90162",90162,1,9,0,9,1,9,2,2,0,9,0,9
"90194",90194,1,9,0,9,1,9,2,9,1,9,0,9
"90210",90210,1,9,0,9,1,9,0,0,1,9,0,9
"90226",90226,1,9,0,9,1,9,2,2,1,9,0,9
"90642",90642,1,9,0,9,1,9,2,9,0,9,1,9
"90658",90658,1,9,0,9,1,9,0,0,0,9,1,9
"90674",90674,1,9,0,9,1,9,2,2,0,9,1,9
"90706",90706,1,9,0,9,1,9,2,9,1,9,1,9
"90722",90722,1,9,0,9,1,9,0,0,1,9,1,9
"90738",90738,1,9,0,9,1,9,2,2,1,9,1,9
"91154",91154,1,9,0,9,1,9,2,9,0,9,2,9
"91170",91170,1,9,0,9,1,9,0,0,0,9,2,9
"91186",91186,1,9,0,9,1,9,2,2,0,9,2,9
"91218",91218,1,9,0,9,1,9,2,9,1,9,2,9
"91234",91234,1,9,0,9,1,9,0,0,1,9,2,9
"91250",91250,1,9,0,9,1,9,2,2,1,9,2,9
"91682",91682,1,9,0,9,1,9,0,0,0,9,3,9
"94226",94226,2,9,0,9,1,9,2,9,0,9,0,9
"94242",94242,2,9,0,9,1,9,0,0,0,9,0,9
"94258",94258,2,9,0,9,1,9,2,2,0,9,0,9
"94290",94290,2,9,0,9,1,9,2,9,1,9,0,9
"94306",94306,2,9,0,9,1,9,0,0,1,9,0,9
"94322",94322,2,9,0,9,1,9,2,2,1,9,0,9
"94738",94738,2,9,0,9,1,9,2,9,0,9,1,9
"94754",94754,2,9,0,9,1,9,0,0,0,9,1,9
"94770",94770,2,9,0,9,1,9,2,2,0,9,1,9
"94802",94802,2,9,0,9,1,9,2,9,1,9,1,9
"94818",94818,2,9,0,9,1,9,0,0,1,9,1,9
"94834",94834,2,9,0,9,1,9,2,2,1,9,1,9
"110610",110610,0,9,1,9,1,9,2,9,0,9,0,9
"110626",110626,0,9,1,9,1,9,0,0,0,9,0,9
"110642",110642,0,9,1,9,1,9,2,2,0,9,0,9
"110674",110674,0,9,1,9,1,9,2,9,1,9,0,9
"110690",110690,0,9,1,9,1,9,0,0,1,9,0,9
"110706",110706,0,9,1,9,1,9,2,2,1,9,0,9
"111122",111122,0,9,1,9,1,9,2,9,0,9,1,9
"111154",111154,0,9,1,9,1,9,2,2,0,9,1,9
"111186",111186,0,9,1,9,1,9,2,9,1,9,1,9
"111218",111218,0,9,1,9,1,9,2,2,1,9,1,9
"111634",111634,0,9,1,9,1,9,2,9,0,9,2,9
"111698",111698,0,9,1,9,1,9,2,9,1,9,2,9
"111730",111730,0,9,1,9,1,9,2,2,1,9,2,9
"114706",114706,1,9,1,9,1,9,2,9,0,9,0,9
"114802",114802,1,9,1,9,1,9,2,2,1,9,0,9
"115218",115218,1,9,1,9,1,9,2,9,0,9,1,9
"115250",115250,1,9,1,9,1,9,2,2,0,9,1,9
"115282",115282,1,9,1,9,1,9,2,9,1,9,1,9
"115314",115314,1,9,1,9,1,9,2,2,1,9,1,9
"115730",115730,1,9,1,9,1,9,2,9,0,9,2,9
"115762",115762,1,9,1,9,1,9,2,2,0,9,2,9
"115794",115794,1,9,1,9,1,9,2,9,1,9,2,9
